cbsacode,cityname,pearson_r,pearson_pval,spearman_r,spearman_pval
35620,NewYork,0.991066526258263,0.0,0.9898051257208458,0.0
31080,LosAngeles,0.9976933478922575,0.0,0.9972564368375425,0.0
16980,Chicago,0.9962437989130047,0.0,0.9958843024060502,0.0
19100,Dallas,0.9962274478840154,0.0,0.9960602010322082,0.0
37980,Philadelphia,0.9938413108231341,0.0,0.9944403377480124,0.0
12060,Atlanta,0.9899557613343424,0.0,0.9891419670138287,0.0
26420,Houston,0.9948732784614103,0.0,0.994269879074251,0.0
47900,Washington,0.9919068032360343,0.0,0.9928454117820484,0.0
33100,Miami,0.9873669718338212,0.0,0.9869878141616981,0.0
19820,Detroit,0.9942320839353802,0.0,0.9957076456456024,0.0
14460,Boston,0.9907254686613385,0.0,0.9901259572595367,0.0
40140,Riverside,0.9880190676099668,0.0,0.9868211187376498,0.0
41860,SanFrancisco,0.9968264362025232,0.0,0.9903064137068402,0.0
38060,Phoenix,0.9942428206039333,0.0,0.99497254006572,0.0
33460,Minneapolis,0.9931851947630492,0.0,0.9943720226942427,0.0
42660,Seattle,0.986741688702433,0.0,0.9891338879714839,0.0
12580,Baltimore,0.9896866404343211,0.0,0.9891051796038505,0.0
17460,Cleveland,0.995101464002327,0.0,0.9931021836529288,0.0
41700,SanAntonio,0.9927777474933963,0.0,0.991221729250377,0.0
38300,Pittsburgh,0.9890023725073301,0.0,0.986597460548685,0.0
41180,StLouis,0.9922363880740648,0.0,0.9917858064176025,0.0
36740,Orlando,0.9868784365444755,0.0,0.9851582746588001,0.0
16740,Charlotte,0.9912668616706055,0.0,0.9910682344339781,0.0
41740,SanDiego,0.9919714120958351,0.0,0.9918478711524098,0.0
12420,Austin,0.9885406552946976,0.0,0.9922805485423649,0.0
29820,LasVegas,0.9921631128219881,0.0,0.9939682556798427,0.0
17140,Cincinnati,0.9832991347946298,0.0,0.9887796066735535,0.0
26900,Indianapolis,0.9908618166807406,0.0,0.9919615970367737,0.0
45300,Tampa,0.9883072394201962,0.0,0.9884695411276312,0.0
18140,Columbus,0.9903863766726638,0.0,0.991460476662286,0.0
34980,Nashville,0.9767487043370338,0.0,0.9839370389757311,0.0
28140,KansasCity,0.9937007431273994,0.0,0.993842819563531,0.0
47260,VirginiaBeach,0.9893415183359906,0.0,0.9871867290092788,0.0
38900,Portland,0.9890006535616032,0.0,0.9922052643319794,0.0
39300,Providence,0.982698276331854,0.0,0.9871070876009637,0.0
33340,Milwaukee,0.9938694993368133,0.0,0.9942175450674099,0.0
19740,Denver,0.9944437503910616,0.0,0.9944796584540294,0.0
15380,Buffalo,0.989281220963661,0.0,0.9884734430648406,0.0
40900,Sacramento,0.9934022051463705,0.0,0.9936149078533876,0.0
31140,Louisville,0.9862239769453995,0.0,0.9884701424728121,0.0
35380,NewOrleans,0.9692200680209005,0.0,0.978193771899303,0.0
32820,Memphis,0.9920925230899271,0.0,0.9936396847272009,0.0
36420,OklahomaCity,0.9916367195581863,0.0,0.9947378858626914,0.0
40060,Richmond,0.983164372101014,0.0,0.9843291097070016,0.0
39580,Raleigh,0.9916334270983153,0.0,0.9918779210514108,0.0
27260,Jacksonville,0.9735021670011648,0.0,0.9767830629856346,0.0
13820,Birmingham,0.988684658488165,0.0,0.9894493072591779,0.0
25540,Hartford,0.9867073876633145,0.0,0.9831187395427333,0.0
41940,SanJose,0.9932108634948128,0.0,0.9940572165585997,0.0
41620,SaltLakeCity,0.991896071859567,0.0,0.9937496973216297,0.0
